NM_VOTAVEL,NM_MUNICIPIO,NR_ZONA,NR_LOCAL_VOTACAO,NM_LOCAL_VOTACAO,QT_VOTOS
ABDALA HABIB FRAXE JUNIOR,CAAPIRANGA,6,1058,E. E. CARMINA DE CASTRO,1002
ABDALA HABIB FRAXE JUNIOR,SÃO PAULO DE OLIVENÇA,22,1023,E. M. PROF. SÔNIA MARIA,869
ABDALA HABIB FRAXE JUNIOR,SÃO PAULO DE OLIVENÇA,22,1090,E. M. INDÍGENA TIKUNA MORUAPU,840
ABDALA HABIB FRAXE JUNIOR,ALVARÃES,60,1040,E. M. MAYARA ABDEL AZIZ,807
ABDALA HABIB FRAXE JUNIOR,CAAPIRANGA,6,1040,E. M. SÃO JORGE,707
ABDALA HABIB FRAXE JUNIOR,CAAPIRANGA,6,1015,E. E. HERMOGENES SARAIVA,667
ABDALA HABIB FRAXE JUNIOR,ALVARÃES,60,1023,E. M. ATANÁZIA FRAZÃO,626
ABDALA HABIB FRAXE JUNIOR,SÃO PAULO DE OLIVENÇA,22,1180,E. E. MONSENHOR EVANGELISTA DE CEFALÔNIA,582
ABDALA HABIB FRAXE JUNIOR,SÃO PAULO DE OLIVENÇA,22,1201,E. E. PROF. NILCE ROCHA COELHO,521
ABDALA HABIB FRAXE JUNIOR,ALVARÃES,60,1031,E. M. NOSSA SENHORA DO ROSÁRIO,512
ABDALA HABIB FRAXE JUNIOR,UARINI,60,1023,E. E. ERMANO ESTRADELLI,409
ABDALA HABIB FRAXE JUNIOR,SÃO PAULO DE OLIVENÇA,22,1104,E. E. POGÜTA,400
ABDALA HABIB FRAXE JUNIOR,SÃO PAULO DE OLIVENÇA,22,1082,E. E. LAURO DE ALMEIDA CASTELO BRANCO,399
ABDALA HABIB FRAXE JUNIOR,SÃO PAULO DE OLIVENÇA,22,1040,E. E. CENTRO EDUCACIONAL DOMÊNICO MARZI,398
ABDALA HABIB FRAXE JUNIOR,UARINI,60,1015,E. E. EDSON MELO,394
ABDALA HABIB FRAXE JUNIOR,UARINI,60,1120,E. M. MARIA MARCELINA,370
ABDALA HABIB FRAXE JUNIOR,AMATURÁ,22,1058,E. M. INDÍGENA SANTA FÉ,349
ABDALA HABIB FRAXE JUNIOR,UARINI,60,1104,E. M. DR. CARLOS BRAGA,341
ABDALA HABIB FRAXE JUNIOR,ANAMÃ,6,1015,E. E. TANCREDO NEVES,339
ABDALA HABIB FRAXE JUNIOR,ALVARÃES,60,1074,E. E. SENADOR FÁBIO LUCENA,299
ABDALA HABIB FRAXE JUNIOR,ALVARÃES,60,1066,E. E. GILBERTO MESTRINHO,275
ABDALA HABIB FRAXE JUNIOR,NHAMUNDÁ,43,1023,E. E. PROF. ENERY BARBOSA DOS SANTOS,270
ABDALA HABIB FRAXE JUNIOR,EIRUNEPÉ,11,1031,E. E.  NOSSA SENHORA DAS DORES,267
ABDALA HABIB FRAXE JUNIOR,AMATURÁ,22,1104,E. E. AMATURÁ,264
ABDALA HABIB FRAXE JUNIOR,ITACOATIARA,3,1597,E. M. MARIA CONSTÂNCIA PEIXOTO DE PAIVA,255
ABDALA HABIB FRAXE JUNIOR,AMATURÁ,22,1040,E. M. SILVIO PINTO RIBEIRO,250
ABDALA HABIB FRAXE JUNIOR,ANAMÃ,6,1058,E. E. ALCINDA PINHEIRO,246
ABDALA HABIB FRAXE JUNIOR,SANTO ANTÔNIO DO IÇÁ,47,1066,E. M. CRISTÃ DO BRASIL,234
ABDALA HABIB FRAXE JUNIOR,CAAPIRANGA,6,1023,E. M. JOSÉ PEREIRA DE CASTRO,230
ABDALA HABIB FRAXE JUNIOR,NHAMUNDÁ,43,1414,E. E. PROF. RAIMUNDO DA SILVA MELO,223
ABDALA HABIB FRAXE JUNIOR,MANAUS,59,2283,E. M. NOSSA SENHORA DAS GRAÇAS,218
ABDALA HABIB FRAXE JUNIOR,SANTO ANTÔNIO DO IÇÁ,47,1023,E. E.  SANTO ANTONIO,203
ABDALA HABIB FRAXE JUNIOR,EIRUNEPÉ,11,1074,E. E. JOAO CONRADO - GM3,198
ABDALA HABIB FRAXE JUNIOR,SÃO PAULO DE OLIVENÇA,22,1066,E. E. DESEMBARGADOR JOAO REBELO CORREA,196
ABDALA HABIB FRAXE JUNIOR,ANAMÃ,6,1066,E. M. IVAN JAQUES,192
ABDALA HABIB FRAXE JUNIOR,AMATURÁ,22,1015,E. M. EUDÓCIA DE ANDRADE,191
ABDALA HABIB FRAXE JUNIOR,JAPURÁ,48,1015,E. E. DOROTHEA DE SOUZA BRAGA,186
ABDALA HABIB FRAXE JUNIOR,NHAMUNDÁ,43,1066,E. M. JOSÉ GAUDÊNCIO,181
ABDALA HABIB FRAXE JUNIOR,ITACOATIARA,3,1503,E. M. IVO AMAZONENSE DE MOURA,176
ABDALA HABIB FRAXE JUNIOR,NHAMUNDÁ,43,1074,E. E. PROF. GILBERTO MESTRINHO,171
ABDALA HABIB FRAXE JUNIOR,UARINI,60,1082,E. M. EDNELZA BEZERRA TRINDAD,169
ABDALA HABIB FRAXE JUNIOR,SÃO PAULO DE OLIVENÇA,22,1139,E. M. SAO SEBASTIAO DA BOA ESPERANÇA,165
ABDALA HABIB FRAXE JUNIOR,MANAUS,63,1791,E. M. ANTONINA BORGES DE SÁ,163
ABDALA HABIB FRAXE JUNIOR,HUMAITÁ,17,1023,E. E. ÁLVARO MAIA,162
ABDALA HABIB FRAXE JUNIOR,EIRUNEPÉ,11,1090,E. E. CONRADO PINTO GOMES,160
ABDALA HABIB FRAXE JUNIOR,SANTO ANTÔNIO DO IÇÁ,47,1147,E. M.  ZENITH RAMOS,157
ABDALA HABIB FRAXE JUNIOR,AUTAZES,35,1082,E. E. MARIA EMÍLIA MESTRINHO DE MEDEIROS RAPOSO - (GM3),154
ABDALA HABIB FRAXE JUNIOR,CAREIRO DA VÁRZEA,31,1074,E. E. CORONEL FIUZA,149
ABDALA HABIB FRAXE JUNIOR,SANTO ANTÔNIO DO IÇÁ,47,1074,E. E. DEUSALINA PINTO RIBEIRO,149
ABDALA HABIB FRAXE JUNIOR,SÃO PAULO DE OLIVENÇA,22,1198,E. M. INDÍGENA TIKUNA UNUPU,148
ABDALA HABIB FRAXE JUNIOR,NHAMUNDÁ,43,1376,E. M. SANTA MARIA DO MAMORIACA,147
ABDALA HABIB FRAXE JUNIOR,ALVARÃES,60,1082,CLUBE DE MÃES,145
ABDALA HABIB FRAXE JUNIOR,AMATURÁ,22,1112,E. M. VITÓRIA SIMÃO,145
ABDALA HABIB FRAXE JUNIOR,SÃO PAULO DE OLIVENÇA,22,1074,E. M. ONÉSIMO DOS SANTOS GOMES,144
ABDALA HABIB FRAXE JUNIOR,UARINI,60,1112,E. M. ZENILDA BRAGA,143
ABDALA HABIB FRAXE JUNIOR,ALVARÃES,60,1058,SERVIÇO DE CONVENIÊCIA E FORTALECIMETO DE VÍNCULO,142
ABDALA HABIB FRAXE JUNIOR,SANTO ANTÔNIO DO IÇÁ,47,1031,E.  E.  ROSA GARCIA,142
ABDALA HABIB FRAXE JUNIOR,MANAUS,59,2100,E. E. GILBERTO MESTRINHO,141
ABDALA HABIB FRAXE JUNIOR,HUMAITÁ,17,1171,E. M. DOM BOSCO,138
ABDALA HABIB FRAXE JUNIOR,MANAUS,63,1945,E. E. RODERICK DE CASTELO BRANCO,135
ABDALA HABIB FRAXE JUNIOR,SÃO PAULO DE OLIVENÇA,22,1120,E. M. INDÍGENA TIKUNA NECURACU,127
ABDALA HABIB FRAXE JUNIOR,ANAMÃ,6,1023,E. E. JESUINA REGIS,126
ABDALA HABIB FRAXE JUNIOR,TABATINGA,36,1015,E. E. DUQUE DE CAXIAS,122
ABDALA HABIB FRAXE JUNIOR,TABATINGA,36,1210,E. E. CONCEIÇÃO XAVIER DE ALENCAR  - GM3,120
ABDALA HABIB FRAXE JUNIOR,HUMAITÁ,17,1287,E. M. NOSSA SENHORA DO CARMO,118
ABDALA HABIB FRAXE JUNIOR,MANAUS,58,1830,E. E. LENINA FERRARO DA SILVA,115
ABDALA HABIB FRAXE JUNIOR,MANAUS,37,1783,E. E. HELENA ARAUJO,113
ABDALA HABIB FRAXE JUNIOR,MANAUS,37,1759,E. M. VILLA LOBOS,112
ABDALA HABIB FRAXE JUNIOR,BARREIRINHA,26,1104,E. E. ANTONIO BELCHIOR CABRAL,110
ABDALA HABIB FRAXE JUNIOR,EIRUNEPÉ,11,1040,E. M. PROF. ELIZABETE OLIVEIRA,109
ABDALA HABIB FRAXE JUNIOR,NHAMUNDÁ,43,1392,E. M. EDUARDO TRAVASSOS,109
ABDALA HABIB FRAXE JUNIOR,MANAUS,31,2178,E. E. LEOPOLDO NEVES,108
ABDALA HABIB FRAXE JUNIOR,AUTAZES,35,1023,E. E. RAMUNDO SÁ,107
ABDALA HABIB FRAXE JUNIOR,TABATINGA,36,1066,E. E. MARECHAL RONDON,106
ABDALA HABIB FRAXE JUNIOR,MANAUS,63,2038,E. E. ERNESTO PENAFORT,105
ABDALA HABIB FRAXE JUNIOR,MANAUS,2,2046,CENTRO UNIVERSITÁRIO NILTON LINS,104
ABDALA HABIB FRAXE JUNIOR,MANAUS,58,1848,E. E. CID CABRAL DA SILVA,104
ABDALA HABIB FRAXE JUNIOR,MANAUS,70,1937,E. E. JOSE BERNARDINO LINDOSO,100
ABDALA HABIB FRAXE JUNIOR,HUMAITÁ,17,1333,E. M. MARIA DO CARMO FERREIRA,99
ABDALA HABIB FRAXE JUNIOR,CARAUARI,21,1090,E. E. CEL. ALFREDO MARQUES DA SILVEIRA,98
ABDALA HABIB FRAXE JUNIOR,MANAUS,2,1910,UNIP,98
ABDALA HABIB FRAXE JUNIOR,MANAUS,32,2216,E. E. CORONEL PEDRO CÂMARA (CMPM VIII),98
ABDALA HABIB FRAXE JUNIOR,MANAUS,59,2038,E. M. SAO LUIZ,96
ABDALA HABIB FRAXE JUNIOR,MANAUS,62,1600,E. E. ELIANA SOCORRO PACHECO BRAGA,94
ABDALA HABIB FRAXE JUNIOR,MANAUS,59,2020,E. E. MANUEL ANTONIO DE SOUZA,93
ABDALA HABIB FRAXE JUNIOR,MANAUS,63,1767,E. E. ISAAC SVERNER,92
ABDALA HABIB FRAXE JUNIOR,MANAUS,63,1759,E. M. HONORINA VASCONCELOS,90
ABDALA HABIB FRAXE JUNIOR,SANTO ANTÔNIO DO IÇÁ,47,1120,E. M. MARIA PINTO PEREIRA,89
ABDALA HABIB FRAXE JUNIOR,MANAUS,58,2054,E. E. ALDEIA DO CONHECIMENTO PROF. RUTH PRESTES GONÇALVES,88
ABDALA HABIB FRAXE JUNIOR,SÃO SEBASTIÃO DO UATUMÃ,27,1031,E. E. FERNANDO RAMOS DE MIRANDA,88
ABDALA HABIB FRAXE JUNIOR,MANAUS,59,2313,E. E. PROF. MARIA TEIXEIRA GOES,87
ABDALA HABIB FRAXE JUNIOR,CARAUARI,21,1368,E. M. RUY BARBOSA,86
ABDALA HABIB FRAXE JUNIOR,SANTO ANTÔNIO DO IÇÁ,47,1090,E. E  EDUARDO RIBEIRO,86
ABDALA HABIB FRAXE JUNIOR,MANAUS,31,1899,E. E. ANTONIO LUCENA BITENCOURT,85
ABDALA HABIB FRAXE JUNIOR,AUTAZES,35,1147,E. E. VIDAL DE MELO,84
ABDALA HABIB FRAXE JUNIOR,MANAUS,70,1791,E. E. LETICIO DE CAMPOS DANTAS,84
ABDALA HABIB FRAXE JUNIOR,TABATINGA,36,1180,U. E. AMAZONAS - UEA,84
ABDALA HABIB FRAXE JUNIOR,MANAUS,31,2194,E. E. PROF. DIANA PINHEIRO,83
ABDALA HABIB FRAXE JUNIOR,MANAUS,58,1988,E. M. DJALMA PASSOS.,83
ABDALA HABIB FRAXE JUNIOR,RIO PRETO DA EVA,68,1171,E. M. IVANILDE BRAGA BRANDÃO,83
ABDALA HABIB FRAXE JUNIOR,SANTO ANTÔNIO DO IÇÁ,47,1112,E. M. EDUCAÇÃO INFANTIL FREI DIOGO,82
ABDALA HABIB FRAXE JUNIOR,TAPAUÁ,38,1139,E. M. SENADOR ARTHUR VIRGILIO FILHO,82
ABDALA HABIB FRAXE JUNIOR,BERURI,54,1163,E. E. GETULIO VARGAS,81
ABDALA HABIB FRAXE JUNIOR,MANAUS,63,1910,E. E. PROFª. BERNARDETE DO SOCORRO TRINDADE DA ROCHA,81
ABDALA HABIB FRAXE JUNIOR,AMATURÁ,22,1031,E. M. DUQUE DE CAXIAS,80
ABDALA HABIB FRAXE JUNIOR,AUTAZES,35,1090,E. E. PEDRO SANTARÉM PENALBER SAMPAIO,80
ABDALA HABIB FRAXE JUNIOR,TAPAUÁ,38,1040,E. E. ANTÔNIO FERREIRA DE OLIVEIRA,79
ABDALA HABIB FRAXE JUNIOR,EIRUNEPÉ,11,1082,E. E.  EURICO GASPAR DUTRA,78
ABDALA HABIB FRAXE JUNIOR,MANAUS,31,2135,E. E. ADALBERTO VALE,78
ABDALA HABIB FRAXE JUNIOR,NHAMUNDÁ,43,1325,E. M. RAIMUNDA COSTA RODRIGUES,78
ABDALA HABIB FRAXE JUNIOR,HUMAITÁ,17,1015,E. E. TANCREDO NEVES,77
ABDALA HABIB FRAXE JUNIOR,CARAUARI,21,1040,E. E. OSVALDO NASCIMENTO,76
ABDALA HABIB FRAXE JUNIOR,EIRUNEPÉ,11,1066,E. E. NOSSA SENHORA DE FATIMA,76
ABDALA HABIB FRAXE JUNIOR,MANAUS,2,2054,C. E. ADALBERTO VALLE - UNIDADE II MORADA DO SOL,76
ABDALA HABIB FRAXE JUNIOR,MANAUS,70,1848,E. M. SAO BENEDITO,76
ABDALA HABIB FRAXE JUNIOR,TABATINGA,36,1023,E. E. PEDRO TEIXEIRA,76
ABDALA HABIB FRAXE JUNIOR,BENJAMIN CONSTANT,20,1015,E. E. IMACULADA CONCEICAO,73
ABDALA HABIB FRAXE JUNIOR,BENJAMIN CONSTANT,20,1180,E. M. PROF. GRAZIELA CORREA DE OLIVEIRA,73
ABDALA HABIB FRAXE JUNIOR,MANAUS,62,1651,E. E. OLGA FALCONE,73
ABDALA HABIB FRAXE JUNIOR,NHAMUNDÁ,43,1333,E. M. SAO BENEDITO,73
ABDALA HABIB FRAXE JUNIOR,ATALAIA DO NORTE,42,1015,E. E. PIO VEIGA,72
ABDALA HABIB FRAXE JUNIOR,TABATINGA,36,1120,E. M. PROFª JOCIEDES ANDRADE,72
ABDALA HABIB FRAXE JUNIOR,TAPAUÁ,38,1023,E. E. PROF. MARIZITA,72
ABDALA HABIB FRAXE JUNIOR,MANACAPURU,6,1643,UNIVERSIDADE DO ESTADO DO AMAZONAS - UEA,71
ABDALA HABIB FRAXE JUNIOR,TAPAUÁ,38,1066,E. E. MARCELINO CHAMPAGNAT,71
ABDALA HABIB FRAXE JUNIOR,BENJAMIN CONSTANT,20,1058,CEMEI FRANCISCO CHAGAS DE ALMEIDA,70
ABDALA HABIB FRAXE JUNIOR,CAREIRO DA VÁRZEA,31,1031,E. M. FRANCISCA GOES DOS SANTOS,70
ABDALA HABIB FRAXE JUNIOR,MANACAPURU,6,1260,E. E. JOSÉ SEFFAIR,70
ABDALA HABIB FRAXE JUNIOR,MANAUS,63,1732,E. M. ARMANDO MENDES,70
ABDALA HABIB FRAXE JUNIOR,RIO PRETO DA EVA,68,1198,E. M. DIVINO ESPIRITO SANTO,70
ABDALA HABIB FRAXE JUNIOR,HUMAITÁ,17,1244,E. M. SÃO DOMINGOS SAVIO,69
ABDALA HABIB FRAXE JUNIOR,MANAUS,31,1937,E. E. BRIGADEIRO JOÃO CAMARÃO TELLES RIBEIRO,69
ABDALA HABIB FRAXE JUNIOR,MANAUS,68,1775,E. M. CLEONICE DE MENEZES FERNANDES,69
ABDALA HABIB FRAXE JUNIOR,SÃO SEBASTIÃO DO UATUMÃ,27,1074,E. E. SÃO SEBASTIÃO,69
ABDALA HABIB FRAXE JUNIOR,CAREIRO,23,1228,E. M. ARTUR MENEZES DE OLIVEIRA,68
ABDALA HABIB FRAXE JUNIOR,HUMAITÁ,17,1074,E. E. DUQUE DE CAXIAS,68
ABDALA HABIB FRAXE JUNIOR,MANAUS,31,2160,E. E. J. G. ARAÚJO,68
ABDALA HABIB FRAXE JUNIOR,SÃO PAULO DE OLIVENÇA,22,1163,E. M. INDÍGENA TIKUNA DUGUE SEBASTIÃO GASPAR ATCHIGUCUNGUTCHAUCU,68
ABDALA HABIB FRAXE JUNIOR,MANAUS,2,1872,CIESA,67
ABDALA HABIB FRAXE JUNIOR,MANAUS,37,1775,E. E. MARCIO NERY,67
ABDALA HABIB FRAXE JUNIOR,MANAUS,37,1805,E. E. MAJOR SILVA COUTINHO,67
ABDALA HABIB FRAXE JUNIOR,MANAUS,62,1660,E. E. PROF. WALDOCKE FRICK DE LIRA- COLÉGIO MILITAR,67
ABDALA HABIB FRAXE JUNIOR,MANAUS,63,1856,E. M. LEONOR UCHOA DE AMORIM,67
ABDALA HABIB FRAXE JUNIOR,MANACAPURU,6,1511,E. E. REGINA FERNANDES,66
ABDALA HABIB FRAXE JUNIOR,MANAUS,1,2429,E. E. CARVALHO LEAL (RECEBEU AS SEÇÕES DO RUY ARAÚJO),66
ABDALA HABIB FRAXE JUNIOR,SÃO PAULO DE OLIVENÇA,22,1155,E. M. INDÍGENA TIKUNA NOSSA SENHORA APARECIDA,66
ABDALA HABIB FRAXE JUNIOR,TAPAUÁ,38,1074,CEMEI - AMADEU NERY CARNEIRO,66
ABDALA HABIB FRAXE JUNIOR,EIRUNEPÉ,11,1260,E. M. INSITUTO CRISTÃO DE EDUCAÇÃO INFANTIL MARIA DOS ANJOS,65
ABDALA HABIB FRAXE JUNIOR,HUMAITÁ,17,1392,E. E. GOVERNADOR PLÍNIO RAMOS COELHO,65
ABDALA HABIB FRAXE JUNIOR,CARAUARI,21,1031,E. E. BELARMINO GOMES DE ALBUQUERQUE,64
ABDALA HABIB FRAXE JUNIOR,CARAUARI,21,1392,E. M. PROF. ELIZA PEDROSA,64
ABDALA HABIB FRAXE JUNIOR,EIRUNEPÉ,11,1015,E. M. ARMANDO MENDES,64
ABDALA HABIB FRAXE JUNIOR,HUMAITÁ,17,1066,E. E. CÂNDIDA AREAL SOUTO,64
ABDALA HABIB FRAXE JUNIOR,MANAUS,31,1945,E. M. NAZIRA CHAMMA DAOU,64
ABDALA HABIB FRAXE JUNIOR,MANAUS,59,2275,E. E. PROF. MARIA ARMINDA GUIMARAES DE ANDRADE,64
ABDALA HABIB FRAXE JUNIOR,MANAUS,62,1716,E. M. JOÃO ALFREDO,64
ABDALA HABIB FRAXE JUNIOR,MANAUS,31,2151,E. E. ESTELITA TAPAJÓS,63
ABDALA HABIB FRAXE JUNIOR,MANAUS,65,1600,E. E. ROBERTO DOS SANTOS VIEIRA,63
ABDALA HABIB FRAXE JUNIOR,BERURI,54,1120,E. M. ANTONIO MARQUES FEITOZA,62
ABDALA HABIB FRAXE JUNIOR,MANAUS,59,2224,E. E. PROF. REINALDO THOMPSON,62
ABDALA HABIB FRAXE JUNIOR,MANAUS,59,2232,E. E. CACILDA BRAULE PINTO,62
ABDALA HABIB FRAXE JUNIOR,MANAUS,63,2062,E. M. DR. OLAVO DAS NEVES,62
ABDALA HABIB FRAXE JUNIOR,RIO PRETO DA EVA,68,1155,E. E. RIO PRETO DA EVA,62
ABDALA HABIB FRAXE JUNIOR,CAREIRO DA VÁRZEA,31,1082,E. M. FRANCISCA DAS CHAGAS,61
ABDALA HABIB FRAXE JUNIOR,MANAUS,65,1554,E. E. SAMUEL BENCHIMOL,61
ABDALA HABIB FRAXE JUNIOR,MANAUS,70,1830,E. E. ENGº. ARTHUR SOARES AMORIM,61
ABDALA HABIB FRAXE JUNIOR,MANAUS,70,1902,E. E. OSMAR PEDROSA,61
ABDALA HABIB FRAXE JUNIOR,RIO PRETO DA EVA,68,1163,E. M. ALEGRIA DE SABER,61
ABDALA HABIB FRAXE JUNIOR,HUMAITÁ,17,1376,E. M. IRMÃ CLARA JACOB,60
ABDALA HABIB FRAXE JUNIOR,MANAUS,37,1740,E. E. PE. AGOSTINHO MARTIN,60
ABDALA HABIB FRAXE JUNIOR,MANAUS,40,1759,E. E. PROF. ADELAIDE TAVARES DE MACEDO,60
ABDALA HABIB FRAXE JUNIOR,MANAUS,58,1864,E. E. MARCANTONIO VILAÇA II - POLÍCIA MILITAR.,60
ABDALA HABIB FRAXE JUNIOR,MANAUS,62,1945,C. E. JOSE ROBERTO TADROS,60
ABDALA HABIB FRAXE JUNIOR,MANAUS,68,1686,E. M. MARIA AUXILIADORA DOS SANTOS AZEVEDO,60
ABDALA HABIB FRAXE JUNIOR,MANAUS,70,1988,E. E. FREI MARIO MONACELLI,60
ABDALA HABIB FRAXE JUNIOR,SÃO SEBASTIÃO DO UATUMÃ,27,1082,E. M. PROF. MARIA MENDES DE FREITAS,60
ABDALA HABIB FRAXE JUNIOR,MANACAPURU,6,1090,E. E. CARLOS PINHO,59
ABDALA HABIB FRAXE JUNIOR,MANAUS,62,1864,E. E. GARCITYLZO DO LAGO E SILVA,59
ABDALA HABIB FRAXE JUNIOR,MANAUS,68,1732,E. E. CLEOMENES DO CARMO CHAVES,59
ABDALA HABIB FRAXE JUNIOR,MANICORÉ,16,1210,E. M. NOSSA SENHORA DO PERPETUO SOCORRO,59
ABDALA HABIB FRAXE JUNIOR,SANTO ANTÔNIO DO IÇÁ,47,1155,E. M. NOSSA SENHORA DA SAÚDE,59
ABDALA HABIB FRAXE JUNIOR,BARREIRINHA,26,1350,E. E. PROF MARIA BELÉM,58
ABDALA HABIB FRAXE JUNIOR,BENJAMIN CONSTANT,20,1082,E. M. INDÍGENA EBENEZER,58
ABDALA HABIB FRAXE JUNIOR,CARAUARI,21,1201,E. E. CARAUARI,58
ABDALA HABIB FRAXE JUNIOR,EIRUNEPÉ,11,1252,E. M.  EXPEDITO BARROSO DE ALENCAR,58
ABDALA HABIB FRAXE JUNIOR,HUMAITÁ,17,1368,E. M. EDMEE MONTEIRO BRASIL,58
ABDALA HABIB FRAXE JUNIOR,MANAUS,31,1929,E. M. JOSE TAVARES DE MACEDO,58
ABDALA HABIB FRAXE JUNIOR,MANAUS,40,1538,E. M. LIRIO DO VALE,58
ABDALA HABIB FRAXE JUNIOR,MANAUS,59,2119,E. E. DEP. JOSUÉ CLAUDIO DE SOUZA - GM3,58
ABDALA HABIB FRAXE JUNIOR,ATALAIA DO NORTE,42,1066,E. E. PROF. TEREZA LEMOS DE OLIVEIRA SANTOS,57
ABDALA HABIB FRAXE JUNIOR,JURUÁ,50,1023,E. E. PROF. ROMERITO DA SILVA BRITO,57
ABDALA HABIB FRAXE JUNIOR,MANACAPURU,6,1015,E. E.  NOSSA SENHORA DE NAZARÉ,57
ABDALA HABIB FRAXE JUNIOR,MANAUS,31,2003,CETI GILBERTO MESTRINHO,57
ABDALA HABIB FRAXE JUNIOR,MANAUS,31,2089,E. E. JOSE CARLOS MESTRINHO,57
ABDALA HABIB FRAXE JUNIOR,MANAUS,37,1791,E. E. TIRADENTES,57
ABDALA HABIB FRAXE JUNIOR,MANAUS,40,1678,E. E. RAIMUNDO GOMES NOGUEIRA,55
ABDALA HABIB FRAXE JUNIOR,MANAUS,58,1821,E. E. DOM MILTON CORREA PEREIRA,55
ABDALA HABIB FRAXE JUNIOR,MANAUS,68,1856,E. M. NOSSA SENHORA DE NAZARÉ,55
ABDALA HABIB FRAXE JUNIOR,MANICORÉ,16,1120,E. M. SAO PEDRO,55
ABDALA HABIB FRAXE JUNIOR,TABATINGA,36,1155,E. M. SÃO SEBASTIÃO,55
ABDALA HABIB FRAXE JUNIOR,BENJAMIN CONSTANT,20,1074,E. E. CEL RAIMUNDO CUNHA,54
ABDALA HABIB FRAXE JUNIOR,CAREIRO,23,1309,E. M. PEDRO DE ALCANTARA,54
ABDALA HABIB FRAXE JUNIOR,MANAUS,2,2011,E. E. ALTAIR SEVERIANO NUNES,54
ABDALA HABIB FRAXE JUNIOR,MANAUS,37,1996,E. M. AMINE DAOU LINDOSO,54
ABDALA HABIB FRAXE JUNIOR,MANAUS,62,1856,E. M. BENJAMIM M. FERNANDES,54
ABDALA HABIB FRAXE JUNIOR,MANICORÉ,16,1031,E. E. PEDRO AGUIRRE,54
ABDALA HABIB FRAXE JUNIOR,MANICORÉ,16,1066,GRUPO ESCOLAR CONEGO AUGUSTO CUNHA,54
ABDALA HABIB FRAXE JUNIOR,BARCELOS,18,1058,EEFM SAO FRANCISCO DE SALES,53
ABDALA HABIB FRAXE JUNIOR,EIRUNEPÉ,11,1058,E. E.  FRANCISCA MENDES,53
ABDALA HABIB FRAXE JUNIOR,ENVIRA,46,1155,E. E. PROF. CHAGAS MATTOS,53
ABDALA HABIB FRAXE JUNIOR,MANAUS,2,1902,ESCOLA SUPERIOR DE TECNOLOGIA - UEA,53
ABDALA HABIB FRAXE JUNIOR,MANAUS,58,1805,E. E. HILDA DE AZEVEDO TRIBUZY.,53
ABDALA HABIB FRAXE JUNIOR,MANAUS,70,1864,E. M. AUREO NONATO,53
ABDALA HABIB FRAXE JUNIOR,MANAUS,40,1465,E. E. FRANCELINA ASSIS DANTAS,52
ABDALA HABIB FRAXE JUNIOR,MANAUS,63,1783,COLÉGIO DA POLICIA MILITAR AUREA PINHEIRO BRAGA,52
ABDALA HABIB FRAXE JUNIOR,MANAUS,65,1570,E. M. NINA DE ARAUJO COSTA LINS,52
ABDALA HABIB FRAXE JUNIOR,MANAUS,68,1651,E. M. THEMISTOCLES GADELHA,52
ABDALA HABIB FRAXE JUNIOR,MANICORÉ,16,1295,E. M. LIBERDADE,52
ABDALA HABIB FRAXE JUNIOR,GUAJARÁ,45,1120,E. E. JOSÉ ELNO FERREIRA DE SOUZA,51
ABDALA HABIB FRAXE JUNIOR,ITAPIRANGA,24,1015,E. E. PROF. TEREZA SANTOS,51
ABDALA HABIB FRAXE JUNIOR,MANACAPURU,6,1384,E. E. VIRGÍLIA ALEXANDRE MADDY,51
ABDALA HABIB FRAXE JUNIOR,MANAUS,32,1945,E. E. PRESIDENTE CASTELO BRANCO,51
ABDALA HABIB FRAXE JUNIOR,MANAUS,59,2127,E. E. PROF. ANTONIO MAURITI MONTEIRO COELHO,51
ABDALA HABIB FRAXE JUNIOR,MANAUS,62,1686,E. E. THOMÉ DE MEDEIROS RAPOSO,51
ABDALA HABIB FRAXE JUNIOR,MANAUS,70,1945,E. M. DR. MAGALHAES CORDEIRO,51
ABDALA HABIB FRAXE JUNIOR,SANTO ANTÔNIO DO IÇÁ,47,1082,E. M. JOSUE CORDEIRO DE SOUZA,51
ABDALA HABIB FRAXE JUNIOR,BARCELOS,18,1074,EEF ANGELINA PALHETA MENDES,50
ABDALA HABIB FRAXE JUNIOR,BARREIRINHA,26,1384,E. E. SENADOR JOÃO BOSCO RAMOS DE LIMA,50
ABDALA HABIB FRAXE JUNIOR,CARAUARI,21,1120,E. E. PROF. NAZARÉ VARELA,50
ABDALA HABIB FRAXE JUNIOR,JURUÁ,50,1040,E. M. DALILA LITAIFF,50
ABDALA HABIB FRAXE JUNIOR,MANAUS,40,1473,E. E. SEN. MANOEL SEVERIANO NUNES,50
ABDALA HABIB FRAXE JUNIOR,HUMAITÁ,17,1040,E. E. GOVERNADOR GILBERTO MESTRINHO,49
ABDALA HABIB FRAXE JUNIOR,MANAUS,2,1996,E. M. PROF. FRANCISCA PEREIRA DE ARAUJO,49
ABDALA HABIB FRAXE JUNIOR,MANAUS,40,1791,C. E. LA SALLE,49
ABDALA HABIB FRAXE JUNIOR,MANAUS,65,1538,E. M. DOM MILTON CORREA PEREIRA,49
ABDALA HABIB FRAXE JUNIOR,NHAMUNDÁ,43,1341,E. E.  SAO SEBASTIAO,49
